漫画「鬼滅の刃」が連載されている漫画雑誌といえば？,4,週刊少年マガジン,週刊少年サンデー,週刊少年キング,週刊少年ジャンプ
「鬼滅の刃」の舞台となっている時代といえば？元号で答えると？,1,大正(たいしょう),明治(めいじ),令和(れいわ),江戸(えど)
額（ひたい）左側に痕（あと）がある、本作の主人公といえば？,3,我妻 善逸(あがつま ぜんいつ),竈門 禰豆子(かまど ねずこ),竈門炭治郎(かまどたんじろう),嘴平 伊之助(はしびら いのすけ)
鬼化（おにか）して生き残った炭治郎（たんじろう）の妹の名前は？,2,我妻 善逸(あがつま ぜんいつ),竈門 禰豆子(かまど ねずこ),竈門炭治郎(かまどたんじろう),嘴平 伊之助(はしびら いのすけ)
鬼殺隊（きさつたい）員候補の炭治郎（たんじろう）を育てた師匠（ししょう）といえば？,2,冨岡義勇(とみおかぎゆう),鱗滝　左近次（うろこだきさこんじ）,胡蝶カナエ（こちょうかなえ）,桑島　慈悟郎（くわしまじごろう）
鬼を倒す際に使う特殊な刀といえば？,1,日輪刀(にちりんとう）,包丁（ほうちょう）,斬魄刀(ざんぱくとう),和道一文字(わどういちもんじ)
炭治郎（たんじろう）が加入した、鬼狩りとも呼ばれている政府非公認（せいふひこうにん）の組織といえば？,1,鬼殺隊（きさつたい）,新撰組（しんせんぐみ）,ひまわり組(ひまわりぐみ),はなかっぱ組（はなかっぱぐみ）
炭治郎(たんじろう）の日輪刀（にちりんとう）は何色になったか？,2,黄色（きいろ）,黒（くろ）,水色(みずいろ),赤（あか）
禰豆子（ねずこ）は血肉（ちにく）を食べないかわりに何で体力を回復していると、鱗滝左近次（うろこだきさこんじ）は推測したか？,1,睡眠（すいみん）,運動（うんどう）,食事(しょくじ),体操（たいそう）
妻子（さいし）持ちの実業家（じつぎょうか）として生活していた、禰豆子（ねずこ）を鬼にした最初の鬼の名前は？,3,十二鬼月（じゅうにきづき）,黒死牟(こくしぼう),鬼舞辻󠄀無惨（きぶつじむざん）,猗窩座(あかざ)
