竈門炭治郎（かまどたんじろう）の一家は何を売って生計を立てていたか？,4,木材(もくざい),肉(にく),竹(たけ),炭(すみ)
炭治郎（たんじろう）に稽古をつけるように、鱗滝左近次（うろこだきさこんじ）に紹介状を送った人物といえば？,1,冨岡 義勇(とみおか ぎゆう),胡蝶しのぶ（こちょう　しのぶ）,煉獄杏寿郎（れんごく　きょうじろう）,宇髄天元（うずい　てんげん）
炭治郎（たんじろう）の前に現れて訓練を施した、手鬼に殺されていた炭治郎の兄弟子といえば？,3,真菰(まこも）,玄弥（げんや）,錆兎(さびと),珠代（たまよ）
炭治郎（たんじろう）の前に現れて訓練を施した、手鬼に殺されていた炭治郎の姉弟子といえば？,4,錆兎(さびと),珠代（たまよ）,玄弥（げんや）,真菰(まこも）
鬼は何の花を嫌うか？,1,藤(ふじ),薔薇(ばら),蒲公英(たんぽぽ),紫陽花(あじさい)
鬼の主な2つの倒し方といえば,2,炎で燃やす、日輪刀で首を斬る,日光にあてる、日輪刀で首を斬る,日光にあてる、心臓に杭を刺さす,首を切り落とす、銀の弾丸を打つ
鱗滝左近次（うろこだきさこんじ）が炭治郎（たんじろう）に教えたのは「何の呼吸」を使った剣術か？,3,炎の呼吸,雷の呼吸,水の呼吸,獣の呼吸
鬼殺隊（きさつたい）本部との連絡は何の動物を基本的に使っているか？,3,鶴（つる）,鳩（はと）,鴉(からす),鷹（たか）
鬼殺隊の刀鍛冶の鋼鐵塚蛍(はがねづか ほたる)は何の面をつけていたか？,2,おかめ,ひょとこ,おたふく,おふく
禰豆子（ねずこ）が人を食わないように口に何を入れているか？,4,おしゃぶりの口枷,骨(ほね)の口枷,竹輪(ちくわ)の口枷,竹製(たけせい)の口枷
